Username, Date, Comment 
Dat Chick Von Lowe, Mon Oct 14 2019, Dr .Myles  Monroe Awesome Teacher of the word of God.I remember growing up and my Mom watched him like every day see Train your kids up and then they will come back one day .Thank you Lord Amen !! I cried though thinking about the plan crash still Rest in Heaven !! 
Michael Nyumbu, Mon Oct 14 2019, we shall forever miss you my mentor 
Naomi Black, Thu Oct 10 2019, May God bless your soul pastor. Thank you for the wisdom u left behind for us. 
Vyonne Eugine, Mon Oct 07 2019, That good advice,I was married some days later ,and I was divorced,so painful ,and he took my two kids,married again now single,I used to cry everyday ,but God Open me another door 
Candiru Florence, Wed Oct 02 2019, This has opened my eyes, i will patiently wait for the right person as i continue to enjoy my singleness!!!! 
Jazmin Rodriguez, Mon Sep 23 2019, I was married for 10 yrs and it was a nightmare when I got divorced... 
Ndiyase Mulimbika, Sun Sep 22 2019, This man&#39;s death pains me even today... Rest in peace Dr. Munroe. 
Frances Topp, Sat Sep 21 2019, STILL MINISTERING EVEN AFTER DEATH,  LISTENING IN 9 20 19 
T S G, Thu Sep 19 2019, &#39;Liver,lungs&quot; i decided right there that i wanted to watch <br />😂😂 
wala peace salem, Thu Sep 19 2019, Nice one sir am really inspired 
Nurah Jay, Wed Sep 11 2019, Watching this in September 2019 I need someone who will make me whole love me with all his pancreas livers and all he got am an accet 
Evelien Alanja, Mon Sep 09 2019, Watching his teaching over and over again. <br />I enjoy being single. While waiting for my husband to find me. While waiting im getting ready and prepare myself to be a good and godly wife🙌🏾🙏🏾👌🏾 
Jamie Jackson, Mon Sep 09 2019, They keep resurrecting...  that will SLOW you down... slow &amp; steady 🙌🏾🙏🏾🙌🏾 
S Green, Sun Sep 08 2019, Youre marriage is as good as your singleness. Solid truth. 
Mwende Munyoki, Fri Aug 30 2019, Divorce is in deed awful. I got the miraculous healing of Holy Spirit. It&#39;s hard to introduce yourself as  a divorcee. The community takes you for an outcast. Instead of helping you heal,  they help get more sick. You can only rely on Jesus. <br /><br />By grace, I got healed through Jesus Christ before I got sick. <br /><br />Great message. It&#39;s possible to stay single and faithful but not good to be alone. 
Lerato Accadia, Thu Aug 29 2019, I loves how he honored and respected her. 
La B, Sat Aug 24 2019, God will not send you a deficit! AMEN! All this time I thought I was a problem. Mrs. Munroe’s statement confirms my belief. God saves his best for his best! The advantage of patiently waiting... Just wait on God! So happy to have run across this message. Even a false marriage (having intercourse with someone who is not your husband/wife). 
Mina Oparebia, Sat Aug 24 2019, Amen to Glory <br />Thank you God. <br />Hallelujah 🙏🙏🙏🙌👏 
THE NILOTIC EMPRESS TV, Fri Aug 23 2019, They died Together 😢 
RODEO Jordannn, Sat Aug 17 2019, Bless GOD 
Queen Mia, Thu Aug 15 2019, “You should never get married until you are single”. Not alone. 🙌🏾 
Ebenezer Kisinza, Wed Aug 14 2019, How&#39;s the tormenting in hell brother??????? 
Rosa Kollie, Wed Aug 07 2019, Amen, i am awaiting my future Husband for whom God has prepares him. 
lisa akinmoladun, Fri Aug 02 2019, Thank GOD for relationship restoration in Jesus Name amen. Praise the LORD, I believe I will be back together with my first1. Husband lord knows him. Praise him for the reunion. Lisa R. 
Consider Consider, Tue Jul 30 2019, I have understood that a person cannot change because he/she is married...no he will remain with his character, what only changes is that ...s living with someone but everything in not changed. Thanks pastors I wish... 
Consider Consider, Tue Jul 30 2019, If I know this before I was married , I hope I would have married to a ryt person...thanks pastor its good to be single 
sher m, Tue Jul 30 2019, Powerful 🙏🙏🙏🙏 
Emokiriemi Abednego, Fri Jul 26 2019, Smartness is mandatory in a relationship and cyberhackinggenius helped cloned my spouse device and I got access to all his dealings both on phone and social media without touching his devices. All I did was share my husband’s phone number with cyberhackinggenius and I was able to read both his new and deleted messages from a cloned device without having to touch his phone. I read all his Whatsapp, Facebook,Instagram and Snapchat messages Including the deleted text messages and iMessages. You can contact him via Gmail  (cyberhackinggenius) or text and speak to him directly on his phone and WhatsApp : +19256795146 and don’t forget to thank me later 
Aries Eagle, Fri Jul 26 2019, Pastor Munroe,good day to u from India.I listen to u regularly,n with all respect,I must confess ,my divorce has not been the death of everything.20years did not get me where I am today,n as a divorcer for 13 years I now have Jesus.Had the relation &quot;NOT DIED&quot;,I wouldn&#39;t&#39;be here .Here I am today,happy as a lark n no regrets.Lastly many divorces happened out of no options.Been there,done it n I do know.God bless you with your marriage. 
Adams Eneh, Sat Jul 20 2019, Who’s gonna take me to lunch 🤔🤔🤔🥰🥰🥰❤️❤️ 
Constance Sawyer, Fri Jul 19 2019, Singleness means you are called to Celibacy . I&#39;m successfully single now for 10 years not based on lack of desire . Rather a change of my devotion . Most of what we endure is based on personal choices .  When you repent God becomes your all , God fights your battles and God surrounds you with His love and truth . 
Karen Kutto, Tue Jul 16 2019, Epitome of  wisdom ... 
Rachel Jolly, Mon Jul 15 2019, Divorce can be a great thing. It better being divorce than staying in a toxic marriage. And yes a psychologist can help people deal with emotional issues after divorce. The church and religion cannot do that. 
Christie Alexandria, Mon Jul 15 2019, Thank you Dr. Myles, I love you 💙, and your wife ❤️🙏🏽 
Christie Alexandria, Mon Jul 15 2019, Thank you, praise god, I give all the glory to God 🙏🏽 
Oke Oghenekowhegba, Sat Jul 13 2019, How did he get this kind of knowledge?? OMG!! 
Irene Cavanero, Thu Jul 11 2019, Thank God this is posted here..it enlightened me a lot. I was in the middle of a painful break up and this sermon help me understand a lot about being in a relationship .. now i want a right relationship from God..i know God will give me somebody i can share my whole life with..☝☝☝ 
Shamatemba Melvinstein, Wed Jul 10 2019, With this message am read to wait and work on myself. I come from a home of marry and remarry. And i don&#39;t want that near me! God keep my future wife where ever she is! 
Kenyetta Brownie, Tue Jul 09 2019, R.I.P TO SUCH A AWESOME COUPLE. 
Toya Spears, Mon Jul 08 2019, Excellent teacher... Rest in heaven🙏 
Jade Brittany, Thu Jun 27 2019, RIP to this wonderful man and his amazing wife. May they rest in peace! This sermon was spot on! 
